unidade;ano;mes;cond_adquirida;altas_validas;tx_cond_adquirida
HAC;2019;5;8;238;0,03361344537815126
HAC;2019;6;2;346;0,005780346820809248
HAC;2019;7;14;320;0,04375
HAC;2019;8;17;325;0,052307692307692305
HAC;2019;9;32;286;0,11188811188811189
HAC;2019;10;21;318;0,0660377358490566
HAC;2019;11;17;310;0,054838709677419356
HAC;2019;12;9;313;0,02875399361022364
HAC;2020;1;9;275;0,03272727272727273
HAC;2020;2;23;269;0,08550185873605948
HAC;2020;3;39;297;0,13131313131313133
HAC;2020;4;41;243;0,16872427983539096
HAC;2020;5;22;238;0,09243697478991597
HAC;2020;6;13;242;0,05371900826446281
HAC;2020;7;21;252;0,08333333333333333
HAC;2020;8;15;279;0,053763440860215055
HAC;2020;9;13;254;0,051181102362204724
HAC;2020;10;17;277;0,061371841155234655
HAC;2020;11;12;267;0,0449438202247191
HAC;2020;12;24;274;0,08759124087591241
HAC;2021;1;17;241;0,07053941908713693
HAC;2021;2;26;222;0,11711711711711711
HAC;2021;3;25;276;0,09057971014492754
HAC;2021;4;33;254;0,12992125984251968
HAC;2021;5;13;251;0,05179282868525897
HAC;2021;6;30;266;0,11278195488721804
HAC;2021;7;19;254;0,07480314960629922
HAC;2021;8;24;262;0,0916030534351145
HAC;2021;9;18;268;0,06716417910447761
HAC;2021;10;8;270;0,02962962962962963
HAC;2021;11;16;227;0,07048458149779736
HAC;2021;12;14;242;0,05785123966942149
HAC;2022;1;12;203;0,059113300492610835
HAC;2022;2;15;181;0,08287292817679558
HAC;2022;3;10;198;0,050505050505050504
HAC;2022;4;22;208;0,10576923076923077
HAC;2022;5;17;251;0,06772908366533864
HAC;2022;6;11;258;0,04263565891472868
HAC;2022;7;15;244;0,06147540983606557
HAC;2022;8;7;252;0,027777777777777776
HAC;2022;9;6;199;0,03015075376884422
HAC;2022;10;7;239;0,029288702928870293
HAC;2022;11;6;193;0,031088082901554404
HAC;2022;12;16;248;0,06451612903225806
HAC;2023;1;4;203;0,019704433497536946
HAC;2023;2;2;224;0,008928571428571428
HAC;2023;3;10;298;0,03355704697986577
HAC;2023;4;13;257;0,05058365758754864
HAC;2023;5;15;264;0,056818181818181816
HAC;2023;6;15;276;0,05434782608695652
HAC;2023;7;9;275;0,03272727272727273
HAC;2023;8;13;276;0,04710144927536232
HAC;2023;9;12;287;0,041811846689895474
HAC;2023;10;16;277;0,05776173285198556
HAC;2023;11;16;235;0,06808510638297872
HAC;2023;12;16;264;0,06060606060606061
HAC;2024;1;25;263;0,09505703422053231
HAC;2024;2;3;282;0,010638297872340425
HAC;2024;3;24;307;0,0781758957654723
HAC;2024;4;16;327;0,04892966360856269
